날짜,이용건수,평균주행거리(m),평균주행시간(분),평균기온(℃),최저기온(℃),최고기온(℃),강수량(mm),PM10(㎍/㎥),PM2.5(㎍/㎥),오존(ppm),이산화질소(ppm),일산화탄소(ppm),아황산가스(ppm),평일_주말
2022-04-01,6685,2637.837696,18.18668661,9.2,3.9,15.5,0,12,8,0.036,0.018,0.4,0.004,0
2022-04-04,7084,2375.011293,17.40965556,10,1.5,19,0,50,41,0.042,0.033,0.5,0.005,0
2022-04-05,7170,2500.380614,17.42064156,9.6,0.3,18.2,0,37,29,0.045,0.036,0.5,0.005,0
2022-04-06,7666,2382.872945,17.46908427,11.7,4,20.3,0,41,23,0.049,0.02,0.4,0.004,0
2022-04-07,7008,2376.785816,17.17636986,10.7,5.2,18.3,0.8,28,10,0.042,0.018,0.3,0.003,0
2022-04-08,7802,2866.930531,18.93476032,13.2,3,22.9,0,39,19,0.039,0.034,0.5,0.004,0
2022-04-09,6851,3906.582105,29.53145526,17.6,9.8,25.5,0,43,23,0.045,0.034,0.5,0.004,1
2022-04-10,6745,4578.328391,33.61734618,18.3,10.3,27.1,0,34,19,0.051,0.021,0.4,0.004,1
2022-04-11,7899,2625.614128,18.86998354,19.9,12,27.4,0,29,17,0.022,0.031,0.4,0.004,0
2022-04-12,8654,2483.07511,18.04206147,20,14.6,27,0,22,15,0.035,0.016,0.3,0.003,0
2022-04-13,1629,1745.364027,13.68999386,12.9,8.7,17.3,19,13,8,0.027,0.017,0.3,0.003,0
2022-04-14,4655,2231.807304,17.59763695,10.3,8.4,14.2,1.8,10,5,0.036,0.015,0.3,0.003,0
2022-04-16,6762,3505.888495,28.98432416,12.6,5.7,19.9,0,27,18,0.04,0.02,0.4,0.003,1
2022-04-17,7132,4498.920639,29.94475603,13,3.2,21.7,0,44,31,0.052,0.02,0.5,0.004,1
2022-04-18,8301,2428.129262,17.25382484,14.3,8.1,22.3,0,48,35,0.053,0.029,0.5,0.004,0
2022-04-19,8775,2374.762507,17.36615385,15,6.9,23.9,0,58,42,0.053,0.032,0.5,0.004,0
2022-04-20,8977,2351.907653,17.51910438,14.8,6.1,23,0,61,50,0.065,0.029,0.5,0.005,0
2022-04-23,7167,3557.531464,26.78401005,18,11.8,24.8,0,46,34,0.043,0.026,0.5,0.004,1
2022-04-25,7936,2268.403604,16.67981351,19.6,14.9,26.2,3,44,33,0.04,0.027,0.6,0.003,0
2022-04-26,5856,2405.20543,19.2050888,18.5,15.4,24.2,17,37,20,0.048,0.013,0.4,0.003,0
2022-04-27,9056,2314.637478,17.22095848,17,11.5,23.3,0,123,16,0.04,0.015,0.3,0.003,0
2022-04-28,9101,2299.327217,16.81111966,17.2,9.2,25.5,0,58,16,0.036,0.024,0.4,0.003,0
2022-04-29,6240,2298.159455,18.32147436,12.7,9.8,17,12.1,8,4,0.038,0.012,0.3,0.003,0
2022-05-01,6765,4003.923577,26.8804139,12.8,5.7,19.6,0,32,14,0.046,0.014,0.4,0.003,1
2022-05-02,8740,2172.112471,16.29290618,13,6.8,19.9,0,38,21,0.042,0.018,0.4,0.003,0
2022-05-03,9276,2305.880768,17.41213885,13.4,4.3,20.7,0,30,20,0.041,0.026,0.4,0.003,0
2022-05-04,9723,2249.523707,17.30443279,16.5,7,25.4,0,31,20,0.045,0.029,0.5,0.004,0
2022-05-05,7338,3782.261924,28.64336331,18,8.4,25.9,0,26,16,0.048,0.021,0.4,0.004,1
2022-05-06,8360,2638.144498,20.61016746,19,11.3,26.7,0,30,19,0.034,0.019,0.3,0.003,0
2022-05-07,6166,3120.929127,26.13493351,16.9,12.1,23.2,0,22,11,0.042,0.01,0.3,0.003,1
2022-05-09,8904,2382.959007,17.11129829,16.3,10.4,22.8,3.7,13,8,0.039,0.019,0.3,0.003,0
2022-05-10,9861,2297.887233,17.93073725,18.1,10.8,25.5,0,23,14,0.037,0.03,0.4,0.003,0
2022-05-11,10143,2255.834763,16.8938184,18.7,13.2,24.6,0,23,14,0.053,0.018,0.3,0.003,0
2022-05-12,10173,2267.677775,17.29155608,19.9,13.7,27.5,0,25,14,0.047,0.019,0.4,0.003,0
2022-05-13,9970,2259.511434,16.93941825,17.6,14.9,21.3,0,23,12,0.042,0.014,0.3,0.003,0
2022-05-14,7847,3184.503759,24.20848732,14.9,8.7,21.2,0,24,10,0.044,0.01,0.3,0.003,1
2022-05-15,7433,3524.47316,27.28938517,14.5,7.9,20.9,0,17,9,0.049,0.008,0.3,0.003,1
2022-05-16,9943,2281.327969,16.82339334,15.7,6.6,23.8,0,24,13,0.055,0.017,0.4,0.003,0
2022-05-17,10691,3849.593677,17.22289776,19.2,10.2,26.9,0,43,28,0.07,0.021,0.5,0.004,0
2022-05-18,10603,2249.511931,16.8358955,20.8,13.4,26.9,0,50,35,0.075,0.022,0.5,0.004,0
2022-05-19,10771,2304.108439,17.21567171,19.7,16,24.3,0,38,24,0.067,0.018,0.4,0.004,0
2022-05-20,10532,2287.499905,17.51329282,19.6,13,27.1,0,32,23,0.054,0.02,0.4,0.005,0
2022-05-21,8261,3110.97809,25.46265585,19.6,13.5,26.8,0,32,23,0.042,0.016,0.3,0.003,1
2022-05-24,10928,2269.64925,16.89568082,21.9,13.7,30,0,28,19,0.046,0.02,0.3,0.003,0
2022-05-25,11289,2215.321906,17.07068828,21,14.3,28.4,0,21,14,0.039,0.021,0.4,0.003,0
2022-05-26,11102,2957.437579,16.88155287,18.5,12.2,25.1,5,17,9,0.043,0.014,0.3,0.003,0
2022-05-27,10995,2266.78281,17.6952251,20.4,15.4,26.6,0,19,10,0.05,0.013,0.3,0.003,0
2022-05-28,8536,3142.632146,25.34700094,22.1,14.5,29.1,0,28,19,0.055,0.022,0.4,0.005,1
2022-05-29,7984,3367.215807,25.83041082,22.5,15.3,29.2,0,27,22,0.066,0.011,0.4,0.003,1
2022-05-30,10572,2239.441544,16.68378736,20.7,17.4,26,0,21,16,0.043,0.013,0.4,0.003,0
2022-06-01,9781,4639.511604,23.40486658,22,13.8,30.3,0,20,9,0.047,0.02,0.4,0.004,0
2022-06-02,11130,2184.759299,16.91347709,21,12.6,29.1,0,22,14,0.051,0.016,0.3,0.004,0
2022-06-03,10874,2246.237263,16.86444731,23.8,17.3,31.6,0,30,21,0.066,0.02,0.5,0.003,0
2022-06-04,7828,3244.430378,25.78845171,24.4,19,30.3,0,30,20,0.052,0.022,0.4,0.003,1
2022-06-05,2721,3670.110254,21.36126424,18.6,16.6,23.7,4,21,15,0.051,0.014,0.3,0.003,1
2022-06-06,7630,3457.011533,26.08584535,18.9,16.1,23,1.1,5,3,0.032,0.008,0.3,0.003,1
2022-06-07,8733,2181.842437,15.58135807,17,14.1,20.9,0.4,5,2,0.032,0.011,0.3,0.003,0
2022-06-08,11791,2246.165041,17.00033924,19.9,14.5,26,0,12,8,0.037,0.014,0.3,0.003,0
2022-06-09,11508,5094.19569,16.96515468,21.1,17.2,27.2,0,20,13,0.031,0.017,0.3,0.003,0
2022-06-10,11609,2264.998794,16.45826514,22.9,16.4,29.1,0,21,16,0.03,0.022,0.4,0.003,0
2022-06-12,7981,3154.461596,24.51885729,23.7,18.3,29.5,0,19,14,0.056,0.012,0.3,0.003,1
2022-06-13,11549,2258.276301,16.89999134,22.9,19.3,27.4,0,20,15,0.037,0.015,0.4,0.003,0
2022-06-15,7237,2227.053337,17.58518723,19,14.9,25.4,20.3,10,6,0.022,0.016,0.3,0.003,0
2022-06-16,11819,2328.738726,17.56223031,20.8,17.5,26.4,0,12,8,0.025,0.018,0.3,0.003,0
2022-06-17,11517,2227.706521,16.62811496,22.3,16.1,27.5,0,27,19,0.029,0.026,0.4,0.003,0
2022-06-18,8602,2955.250756,24.01057894,23.9,20.8,28.2,0,18,11,0.023,0.016,0.3,0.003,1
2022-06-19,8207,3153.022054,23.21810649,24.3,20.3,28.4,0,22,14,0.029,0.013,0.3,0.003,1
2022-06-20,11294,2226.364353,16.96520276,26.1,21.2,32.3,0,21,14,0.036,0.016,0.3,0.003,0
2022-06-21,11371,2123.370504,15.95259872,27,20.6,35.1,0,19,12,0.033,0.018,0.3,0.003,0
2022-06-23,5432,2064.09039,14.20802651,24.2,20.7,30.2,18.2,28,19,0.023,0.029,0.4,0.003,0
2022-06-24,10103,2179.700881,17.86459467,24,22.3,28.2,9.4,20,14,0.039,0.016,0.4,0.003,0
2022-06-25,7170,2690.583264,23.01129707,26.9,22,32.7,0,44,33,0.063,0.013,0.5,0.003,1
2022-06-28,10775,2122.559072,16.20464037,29.1,27.3,31.3,0,17,6,0.01,0.012,0.3,0.003,0
2022-06-29,3015,1853.594693,17.10613599,26.2,24.1,29.2,49.9,14,6,0.011,0.014,0.3,0.003,0
2022-06-30,8393,2332.726081,16.92124389,26.4,24.4,30.4,12.8,5,4,0.027,0.024,0.3,0.003,0
2022-07-01,11528,2498.164556,19.8259889,28,23,33.1,0,15,7,0.011,0.022,0.3,0.003,0
2022-07-03,4293,2190.436292,19.71045889,27.6,22.3,34.3,51.7,32,27,0.046,0.012,0.3,0.004,1
2022-07-04,9194,1923.401566,15.32782249,27.1,22.7,33.4,0,31,27,0.031,0.019,0.3,0.003,0
2022-07-05,10458,1893.242876,15.50105183,27.6,23.8,33.7,0,30,25,0.044,0.023,0.3,0.003,0
2022-07-06,10131,1896.819268,15.13917678,29.2,24.8,34.6,2,27,22,0.035,0.022,0.3,0.003,0
2022-07-07,8510,1791.730552,15.16227967,28.3,25.7,33,9.5,20,12,0.019,0.02,0.2,0.003,0
2022-07-08,9126,2032.051063,16.55599386,26.9,23.3,31.2,0.2,23,17,0.041,0.016,0.3,0.003,0
2022-07-10,5569,2799.585383,22.27222122,27.5,22.9,33.9,2.4,36,31,0.062,0.019,0.5,0.004,1
2022-07-11,7511,2088.676341,17.24324324,24.5,22.9,27.6,3.8,22,17,0.042,0.02,0.4,0.003,0
2022-07-14,10013,2120.483471,17.56596425,26,23.1,30,0.2,11,7,0.034,0.014,0.4,0.003,0
2022-07-15,10206,2151.945914,17.27973741,25.4,21.3,30.4,0,21,15,0.041,0.017,0.4,0.003,0
2022-07-17,6918,2899.248338,23.20323793,25.4,20.6,30.1,0,22,17,0.042,0.015,0.4,0.003,1
2022-07-19,10848,2204.793142,16.992441,24.5,20.3,30.7,0,28,23,0.054,0.016,0.4,0.003,0
2022-07-21,6228,2433.6079,18.33220938,23.6,22.5,25.6,22.7,10,8,0.044,0.01,0.3,0.003,0
2022-07-22,9820,2074.997454,17.04694501,24.9,21.6,29.8,0,23,18,0.047,0.012,0.4,0.003,0
2022-07-23,5042,2486.805038,21.32348274,24.2,21.1,28.1,22.9,37,29,0.036,0.02,0.5,0.003,1
2022-07-24,3133,3202.027131,22.84583466,24.1,22.3,26.1,7.5,15,12,0.041,0.011,0.4,0.003,1
2022-07-25,9780,2118.521984,17.15766871,26.7,23.4,31.6,0,16,9,0.028,0.013,0.3,0.003,0
2022-07-26,10180,2173.936739,16.57121807,27.7,22.2,33.4,0,28,22,0.057,0.019,0.4,0.003,0
2022-07-27,10429,2082.280468,16.54204622,27.5,24.7,30.9,0,30,24,0.039,0.025,0.5,0.003,0
2022-07-28,8273,2276.384504,15.87465248,27,23.4,33,4.4,23,19,0.04,0.02,0.4,0.003,0
2022-07-29,8865,2047.775522,16.04218838,29.7,24.3,34.5,0,20,17,0.039,0.017,0.4,0.003,0
2022-07-30,5770,2556.72773,21.35199307,28.9,25.4,32.5,0,17,12,0.025,0.015,0.3,0.003,1
